shortcode,images,company,post_id,date,post_description,accessibility_caption,count_likes,count_comments,location,comments_disabled,is_ad,is_video
CQ_L-jwNDRU,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/e15/210918841_1023821785024438_4444983363712881146_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=aNw7bXVOFoIAX9-eS7P&edm=AABBvjUBAAAA&ccb=7-4&oh=b6ef997d0403434824495c1a26cc6778&oe=614C2091&_nc_sid=83d603'}],nestle,2611858986407048276,565,"Have you tried our Garden Gourmet pizzas? 🍕 

Available in 7 European countries, they deliver on taste and goodness in 100% recyclable packaging. ♻️ 

Visit the link in our bio and learn more about how we're embracing plant-based ⬆️ ⁣
⁣
#PlantBased #Innovation #Nestlé #GardenGourmet",,565,21,,False,False,True
CTUQlbZA9Ga,"[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/241080643_921868861729137_87918250006313981_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=ossYStkuTHYAX_zIf5T&edm=AABBvjUBAAAA&ccb=7-4&oh=a3fca039753f06ecac7ad9177d266af8&oe=61505F7F&_nc_sid=83d603'}, {'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/241124251_255131459946635_747729299390967651_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=C6zTO2t7430AX8wvTen&edm=AABBvjUBAAAA&ccb=7-4&oh=60e74b9413ed2e64650d8db16333e7f0&oe=615198BC&_nc_sid=83d603'}]",nestle,2653819021203591578,750,"To help fight food insecurity, we've created the first-ever custom product for @foodbankaus: The Maggi Hearty One Pot Casserole, which has provided more than 1.2 million meals so far. 

Want to know more? Visit the link in our bio ⬆️ 

#Maggi #FoodbankAustralia #Nestlé",,750,16,,False,False,False
CRWlZeLt2RT,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/218008311_133644202232713_2088232809204553569_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=sU79tCjwSkMAX_oEU_J&edm=AABBvjUBAAAA&ccb=7-4&oh=703425c02b843df72a79472e45249fda&oe=614BF553&_nc_sid=83d603'}],nestle,2618444711479174227,391,"@Gerber is the latest of our brands to make strides in #ClimateAction. 

👶🏾 By 2022: 100% of their U.S. Organic portfolio together with Natural pouches and glass jars will be #CarbonNeutral. 
👶🏼 By 2035: 100% carbon neutrality across its entire U.S. portfolio.

Team Gerber, keep up the work for a brighter future for the future generation. 💪💗👶 🌎 

Visit the link in our bio to learn more ⬆️",,391,22,,False,False,True
CPI9IRcrs7t,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/188953163_807652836855588_8851687929462962703_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=6q30hojV1m4AX_vy7H0&edm=AABBvjUBAAAA&ccb=7-4&oh=4cae9c7ffd0d99c654da0e49b7f81753&oe=614C7BE4&_nc_sid=83d603'}],nestle,2578579635997429485,510,"Our 270,000 employees are from every corner of the world! 🌎

To highlight the power of food, they are sharing their fondest food memories and favorite recipes.

First up is Marta, from Italy, sharing her family recipe for the Italian classic – Tiramisu. 🇮🇹 👩🏼‍🍳 

For the Marta's full recipe and method, check out our story highlights ⬆️ 

#WeAreNestle #Recipes #PowerOfFood",,510,19,,False,False,True
CPPr6laNEHy,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/190048549_470485624016278_2610149759573339803_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=jVRXU6ALEF4AX_XUCYN&edm=AABBvjUBAAAA&ccb=7-4&oh=c974ed929101917a3c11d3692f28bfbd&oe=614C7288&_nc_sid=83d603'}],nestle,2580474253404291570,382,"Did you know? Kids who drink water build healthier habits! 🚰

Visit the link in our bio and discover our tips and tricks ⬆️

#HealthierKids #Nestlé #GoodLife",,382,29,,False,False,True
COsguEXI-jK,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/e15/183575899_462724988169622_7204189272641229039_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=YL9OZHf9kbYAX-p6-4K&edm=AABBvjUBAAAA&ccb=7-4&oh=e26a12f53e0b632f4437e85e411bbba7&oe=614C3618&_nc_sid=83d603'}],nestle,2570573390589192394,494,"Coffee continues to be one of the most consumed beverages worldwide, with its appeal cutting across cultures and generations. 🌎☕

Visit the link in our bio to discover five ways our coffee drinking habits are evolving ⬆️

#Coffee #Trends #Innovation #Nestlé",,494,47,,False,False,True
CMekqVMg8Dj,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/e35/160222190_113703867450065_916591178713104862_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=mX4F60R7LYUAX9CKB60&edm=AABBvjUBAAAA&ccb=7-4&oh=2c65f13c58aabfacdf41c6e756b3e591&oe=614C1BE4&_nc_sid=83d603'}],nestle,2530621279279759587,412,"Whether it’s delicious plant-based foods 🌱, innovative coffee products ☕️, sustainable packaging ♻️ or breakthrough nutritional concepts – in 2020 we remained committed to delighting our consumers. ⠀
 ⠀
Visit the link in our bio to learn more and explore our 2020 Annual Report ⬆️⠀
⠀
#Nestlé2020 #Innovation #PlantBased #Coffee #SustainablePackaging",,412,97,,False,False,True
COaXTEBgZHx,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/e35/181102252_509526286746621_3684039632808314633_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=hs_sRBoSRMMAX8vS4VR&edm=AABBvjUBAAAA&ccb=7-4&oh=fbd80310fd4a18da3a3e768b8ab4b457&oe=6150B58A&_nc_sid=83d603'}],nestle,2565465402800968177,1345,"Introducing @Nescafe Gold Blend Roastery Collection! ☕

Barista-style soluble coffees that harness our unique expertise in roasting technology to deliver new taste profiles. 

The new range, launching first in the UK, is packaged in aluminum tins that are 100% recyclable and plastic-free. ♻️

Want to know more? Visit the link in our bio ⬆️⁣

#Coffee #Innovation #Nestlé",,1345,27,,False,False,False
CRZFBgKNlmi,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/e35/218127665_1026106714862145_4345182249429175570_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=eRZUZwX4obcAX9EZrew&edm=AABBvjUBAAAA&ccb=7-4&oh=30224849e8dedc2a7c21f65d21b5d8c2&oe=615184CD&_nc_sid=83d603'}],nestle,2619146751775758754,644,"Did you know our Garden Gourmet plant-based food brand will be carbon neutral by 2022? 

Another important step towards net zero emissions by 2050. 

Visit the link in our bio to learn more ⬆️ 

#ClimateAction #Nestlé #NetZero",,644,26,,False,False,False
CNIdS8Pg_Lz,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/167154767_470053967576025_202976701541251571_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=cA-5LaarIW0AX-L3bsj&tn=EPLOOm8s1aBmyfj8&edm=AABBvjUBAAAA&ccb=7-4&oh=59931bbc3e135a11197c188ebe718872&oe=61516B80&_nc_sid=83d603'}],nestle,2542410834634863347,1783,"If the world around us is rapidly changing, certain things remain a constant. Our love of coffee is one of them. ☕⁣
⁣
Visit the link in our bio to discover five ways our coffee drinking habits are evolving ⬆️⁣
⁣
#Coffee #Trends #Innovation #Nestlé⁣",,1783,51,,False,False,False
